Timestamp (24hr datetime),Timestamp (epochtime UTC),Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8,Tag9,Tag10
2025-09-01 20:01:02,1756785662,12.3456,18.9876,32.4567,41.8765,51.2345,61.9876,72.3456,78.6789,89.1234,102.4567
2025-09-01 20:02:02,1756785722,9.7654,20.1234,29.8765,39.4567,48.9876,59.3456,69.8765,79.2345,91.5432,99.8765
2025-09-01 20:03:02,1756785782,10.2345,21.8765,30.4567,40.9876,50.1234,60.8765,70.5432,82.0123,90.9876,100.5432
2025-09-01 20:04:02,1756785842,11.6789,19.2345,31.8765,38.7654,51.5432,62.1234,71.8765,80.4567,88.6789,101.1234
2025-09-01 20:05:02,1756785902,9.3456,22.0123,28.9876,41.4567,52.3456,58.8765,69.1234,79.7654,92.0123,98.9876
2025-09-01 20:06:02,1756785962,10.9876,20.8765,30.7654,40.1234,49.9876,60.5432,70.2345,81.8765,90.7654,100.3456
2025-09-01 20:07:02,1756786022,11.4567,21.5432,32.0123,42.3456,50.4567,61.0123,72.1234,78.8765,89.5432,102.0123
2025-09-01 20:08:02,1756786082,12.0123,18.8765,29.3456,39.8765,48.7654,58.9876,69.5432,80.1234,91.8765,99.4567
2025-09-01 20:09:02,1756786142,9.8765,20.3456,30.1234,40.5678,51.8765,62.3456,70.9876,81.4567,90.2345,100.8765
2025-09-01 20:10:02,1756786202,10.5432,22.1876,28.6754,41.9801,49.5432,59.1234,68.7890,79.0012,92.3456,98.6789
2025-09-01 20:11:02,1756786262,11.8842,19.9123,31.4587,38.2345,52.1198,60.7654,71.3287,82.4409,88.9870,101.5432
2025-09-01 20:12:02,1756786322,9.1871,20.9031,28.7799,39.4687,49.6258,58.7275,71.5550,79.7812,89.4600,99.0746
2025-09-01 20:13:02,1756786382,12.3556,20.3178,28.7197,40.6331,47.6572,58.2754,69.2883,79.7505,91.4450,99.8588
2025-09-01 20:14:02,1756786442,10.0658,19.0095,27.8911,41.4326,47.7419,59.8722,71.4397,82.3579,90.4701,100.9282
2025-09-01 20:15:02,1756786502,7.9408,19.3145,31.6032,40.4301,49.8957,61.8679,67.6458,79.0597,89.3797,100.9981
2025-09-01 20:16:02,1756786562,8.2423,21.0732,32.3186,38.3547,49.5846,62.3380,72.1850,82.2471,89.8770,99.1503
2025-09-01 20:17:02,1756786622,7.6324,18.5036,30.6953,38.6668,47.6584,59.5486,72.3844,78.0108,88.6356,100.3538
2025-09-01 20:18:02,1756786682,12.1403,20.3025,31.0768,39.4543,51.9606,60.5704,69.8982,78.0368,91.8237,98.5137
2025-09-01 20:19:02,1756786742,11.1655,21.0012,28.4862,39.1301,50.2773,62.0280,70.3632,79.8667,89.8913,100.4004
2025-09-01 20:20:02,1756786802,9.8037,17.5569,32.2002,40.1341,51.1325,62.0192,68.0282,82.3690,91.2477,99.9085
2025-09-01 20:21:02,1756786862,12.2479,20.9396,29.1520,37.7413,48.3160,59.1329,71.3944,80.3788,87.5569,98.4337
2025-09-01 20:22:02,1756786922,7.8047,18.0630,29.3314,38.5200,49.1597,61.4912,68.7701,78.6893,90.6625,98.0083
2025-09-01 20:23:02,1756786982,8.9809,21.0235,32.2020,38.9866,49.6718,58.8160,70.8347,81.4125,88.0946,100.0304
2025-09-01 20:24:02,1756787042,10.6458,19.8341,29.3426,38.4316,52.2972,61.9491,70.6045,80.3654,91.9911,102.4064
2025-09-01 20:25:02,1756787102,11.4037,19.6133,28.5705,42.3459,48.5023,58.0256,70.8584,81.3100,89.9693,99.2463
