Timestamp (24hr datetime),Timestamp (epochtime UTC),Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7,Tag8,Tag9,Tag10
2025-09-01 21:00:02,1756790402,8.8071,18.7852,29.4789,41.4873,52.2059,61.4849,72.0315,80.8049,89.3354,101.5140
2025-09-01 21:01:02,1756790462,7.7822,20.6714,28.1831,38.4962,47.9828,61.6391,69.6333,80.9357,88.7490,100.9346
2025-09-01 21:02:02,1756790522,12.1069,21.2390,29.7599,37.9528,49.0126,60.5087,69.2961,81.4461,90.1631,97.7496
2025-09-01 21:03:02,1756790582,9.5862,21.7227,31.6803,42.1184,47.6111,59.5665,69.3029,81.2571,91.5978,102.0694
2025-09-01 21:04:02,1756790642,10.2398,21.0567,30.2830,41.0503,51.3637,58.8352,67.6223,81.4071,91.3597,98.9726
2025-09-01 21:05:02,1756790702,11.0042,18.6105,30.0605,38.6316,49.7578,59.2792,71.9851,79.7479,88.0456,99.2968
2025-09-01 21:06:02,1756790762,11.6005,20.8500,32.4069,41.7102,47.5992,59.6669,70.4250,78.8052,87.6680,100.9469
2025-09-01 21:07:02,1756790822,11.5241,19.0372,31.2932,38.7652,49.0194,61.2654,70.2169,77.9941,90.0126,100.2771
2025-09-01 21:08:02,1756790882,11.8065,18.9807,31.2096,40.2763,51.0305,62.4159,67.5531,79.8520,89.4595,99.5150
2025-09-01 21:09:02,1756790942,9.0480,18.7891,31.2569,41.2390,47.6912,62.1053,69.0749,82.4550,88.0712,101.7843
2025-09-01 21:10:02,1756791002,7.6816,17.6482,27.7311,40.2957,48.9407,59.0906,70.7306,79.7537,92.4237,99.2324
2025-09-01 21:11:02,1756791062,11.2401,19.8031,29.3928,39.6547,49.8463,59.1437,71.3705,77.7809,89.4318,101.6914
2025-09-01 21:12:02,1756791122,11.6590,19.0896,27.8085,37.5369,50.3737,60.4673,70.5812,82.2905,90.0861,99.2879
2025-09-01 21:13:02,1756791182,11.0302,20.4912,31.4637,38.8568,49.5021,59.8119,72.0620,78.2670,91.3076,98.4011
2025-09-01 21:14:02,1756791242,8.9955,20.7300,30.5827,40.0685,49.7151,59.7140,70.3317,82.0278,90.2716,101.9064
2025-09-01 21:15:02,1756791302,8.9745,21.0210,28.6977,40.6806,49.5031,58.6706,69.8651,81.7373,88.1229,100.3266
2025-09-01 21:16:02,1756791362,8.5096,18.0598,28.2876,41.1845,48.4542,59.6882,72.4849,78.4968,92.2705,98.6370
2025-09-01 21:17:02,1756791422,8.1469,21.7990,28.8032,39.6146,50.6654,62.2836,67.8965,80.7890,92.4218,99.3557
2025-09-01 21:18:02,1756791482,8.8612,20.0767,28.4454,38.2412,50.0689,59.9738,67.9077,77.8727,92.2634,101.9672
2025-09-01 21:19:02,1756791542,12.1249,21.5330,30.6532,41.0844,50.5851,59.5638,68.9708,79.4539,88.1207,101.8551
2025-09-01 21:20:02,1756791602,8.8648,19.4614,28.5101,38.0748,48.6387,59.6875,69.1321,77.5484,90.8030,101.0371
2025-09-01 21:21:02,1756791662,8.0290,18.1960,30.4724,39.1968,49.9855,60.1767,70.7875,81.5624,89.9784,100.8182
2025-09-01 21:22:02,1756791722,11.7991,21.6212,31.9369,40.5082,51.3187,58.0439,69.5494,79.0924,89.7306,102.1004
2025-09-01 21:23:02,1756791782,10.3198,20.6811,30.0202,38.7077,49.7060,62.4670,68.4190,81.5013,89.2975,100.2399
